Age,Gender,District,Region,Location Type,Customer Type,Employment Status,Income Level,Education Level,Tenure,Balance,Credit Score,Outstanding Loans,Num Of Products,Mobile Banking Usage,Number of Transactions per Month,Num Of Complaints,Proximity to Nearest Branch or ATM (km),Mobile Network Quality,Owns Mobile Phone
28,Female,Nkhata Bay,Northern,Rural,Retail,Not Employed,72800,Secondary,11,149449,392,2130819,1,Yes,5,6,41.1,Poor,No
21,Male,Neno,Southern,Rural,SME,Employed,201121,Secondary,1,2677360,498,793643,4,No,2,9,27.2,Poor,No
59,Female,Karonga,Northern,Rural,SME,Not Employed,26789,Secondary,25,796757,363,960912,4,No,1,2,37.6,Poor,No
29,Male,Likoma,Northern,Rural,SME,Employed,923795,Secondary,21,1553845,426,1294714,3,No,1,8,20.1,Good,No
78,Female,Lilongwe,Central,Rural,SME,Employed,2150980,Tertiary,24,317784,443,225685,1,No,1,7,30.7,Poor,No
17,Male,Nkhata Bay,Northern,Rural,Retail,Employed,920853,Secondary,20,2301541,496,1811808,6,No,1,3,40.3,Poor,Yes
21,Female,Blantyre,Southern,Rural,Retail,Employed,201065,Primary,28,3475215,345,96666,5,No,5,1,30.3,Fair,No
29,Male,Chiradzulu,Southern,Rural,SME,Employed,743806,Secondary,16,3341939,519,431264,7,No,2,6,45.8,Poor,No
87,Female,Thyolo,Southern,Rural,Retail,Not Employed,14767,Secondary,28,2341040,552,1710614,3,No,1,7,29.1,Fair,Yes
31,Male,Kasungu,Central,Rural,Retail,Employed,777428,Secondary,28,505855,359,964495,1,No,1,2,45.6,Poor,No
19,Female,Dowa,Central,Rural,Retail,Employed,121088,Primary,30,3041451,563,2084799,2,No,2,3,34.9,Fair,Yes
44,Female,Chitipa,Northern,Rural,SME,Self Employed,941261,Secondary,29,725588,420,763841,5,No,1,7,26.0,Fair,Yes
25,Male,Zomba,Southern,Rural,Corporate,Not Employed,37302,Secondary,11,2715369,307,13536,6,No,0,5,31.1,Poor,No
96,Male,Thyolo,Southern,Rural,Retail,Self Employed,209637,Primary,15,166217,484,841174,6,No,2,3,49.9,Fair,No
17,Female,Dowa,Central,Rural,SME,Not Employed,46205,Secondary,28,82938,814,1337829,5,No,1,4,24.1,Fair,No
41,Male,Mzimba,Northern,Rural,Retail,Employed,767224,Secondary,6,205924,415,426122,5,No,2,1,48.0,Fair,No
28,Female,Chiradzulu,Southern,Rural,Retail,Employed,1878632,Tertiary,14,1831826,371,1690811,7,No,0,2,28.6,Fair,Yes
80,Female,Ntcheu,Central,Rural,Retail,Not Employed,84432,Secondary,22,217321,518,1185629,6,No,1,2,18.1,Poor,Yes
89,Male,Neno,Southern,Rural,SME,Not Employed,44468,Primary,14,880972,308,477431,6,No,0,5,38.2,Fair,Yes
44,Female,Karonga,Northern,Rural,Retail,Self Employed,1530552,Tertiary,30,802548,405,110081,3,No,0,4,45.7,Poor,Yes
54,Male,Ntchisi,Central,Rural,Retail,Not Employed,79925,Secondary,23,670681,371,1776718,2,Yes,1,10,41.0,Good,No
93,Male,Chitipa,Northern,Rural,Retail,Self Employed,137074,Primary,7,568898,552,1578140,3,No,1,3,40.9,Poor,Yes
68,Male,Nkhotakota,Central,Rural,SME,Self Employed,205919,Secondary,18,181629,320,1905083,6,No,2,6,47.9,Poor,Yes
69,Female,Mzimba,Northern,Rural,Retail,Not Employed,19004,Tertiary,21,2063559,365,778594,1,No,0,9,21.4,Poor,Yes
22,Female,Neno,Southern,Rural,SME,Not Employed,26769,Secondary,12,59472,408,1622094,2,No,5,5,36.9,Poor,No
18,Female,Nkhotakota,Central,Rural,Retail,Employed,66200,Primary,4,2396170,486,1042971,7,No,3,6,35.0,Fair,No
86,Female,Nkhotakota,Central,Rural,Retail,Not Employed,61650,Primary,11,958456,430,1997221,2,No,3,7,45.5,Poor,No
30,Male,Rumphi,Northern,Rural,Retail,Not Employed,38242,Secondary,9,2699494,393,1056995,7,No,1,7,26.1,Poor,Yes
61,Female,Machinga,Southern,Rural,Retail,Not Employed,47943,Tertiary,3,471992,758,1188054,2,No,2,7,39.4,Good,Yes
90,Male,Mulanje,Southern,Rural,Retail,Not Employed,11469,Tertiary,3,547199,418,1568292,5,No,5,9,27.1,Fair,Yes
58,Male,Dowa,Central,Rural,Retail,Employed,41654,Primary,28,803494,657,1926391,5,No,1,10,27.7,Poor,No
61,Female,Phalombe,Southern,Rural,Retail,Not Employed,62189,Tertiary,6,3149492,449,219873,1,No,1,8,31.0,Poor,Yes
19,Male,Zomba,Southern,Rural,SME,Employed,782427,Secondary,30,334335,567,583786,4,Yes,1,10,41.0,Poor,Yes
30,Female,Blantyre,Southern,Rural,SME,Employed,714577,Secondary,21,601713,313,247619,7,No,0,8,27.9,Poor,Yes
53,Male,Mulanje,Southern,Rural,Retail,Employed,202531,Primary,18,864952,322,1350927,7,No,1,4,22.1,Poor,Yes
20,Male,Mchinji,Central,Rural,Retail,Self Employed,762480,Secondary,16,651088,552,1433242,2,Yes,1,8,11.7,Fair,Yes
54,Male,Mangochi,Southern,Rural,Retail,Employed,282245,Primary,10,247239,332,1005332,6,No,0,9,18.7,Poor,Yes
48,Male,Balaka,Southern,Rural,Retail,Self Employed,912517,Secondary,8,652087,466,286583,4,No,0,5,23.5,Fair,No
85,Female,Blantyre,Southern,Rural,Retail,Employed,369808,Secondary,27,361398,478,470878,1,No,1,2,27.9,Poor,Yes
22,Female,Nkhata Bay,Northern,Rural,Retail,Self Employed,1068341,Tertiary,5,2301566,555,42496,3,Yes,2,6,20.0,Fair,Yes
42,Female,Mulanje,Southern,Rural,SME,Employed,115346,Primary,22,875174,476,1201106,7,No,0,8,39.6,Fair,Yes
68,Male,Balaka,Southern,Rural,Retail,Not Employed,54322,Secondary,11,1957979,342,1304576,7,No,1,8,28.6,Fair,No
74,Female,Kasungu,Central,Rural,Retail,Not Employed,17780,Secondary,2,914697,573,337913,2,No,4,10,49.3,Poor,No
21,Male,Salima,Central,Rural,SME,Self Employed,1004757,Tertiary,8,196483,797,1303473,7,No,2,9,26.5,Fair,Yes
23,Male,Mchinji,Central,Rural,Retail,Employed,262113,Primary,20,994347,809,2177883,3,No,0,4,48.4,Fair,Yes
73,Male,Mzimba,Northern,Rural,Retail,Not Employed,31119,Secondary,27,3741590,365,1034389,2,No,1,7,21.0,Poor,Yes
16,Female,Chiradzulu,Southern,Rural,SME,Self Employed,994302,Tertiary,10,217845,844,596039,4,No,0,6,32.7,Poor,Yes
29,Male,Nkhotakota,Central,Rural,SME,Employed,198867,Primary,21,610406,631,1374624,5,No,2,10,47.8,Poor,Yes
17,Male,Rumphi,Northern,Rural,Retail,Self Employed,481675,Secondary,14,80461,612,1486159,1,No,1,6,15.6,Poor,No
45,Female,Mchinji,Central,Rural,Retail,Not Employed,44638,Tertiary,14,2259115,413,1731990,3,No,0,6,29.4,Fair,No
77,Female,Phalombe,Southern,Rural,Retail,Not Employed,75475,Tertiary,15,2708922,461,1041526,1,No,1,10,37.1,Poor,Yes
81,Female,Dedza,Central,Rural,Retail,Self Employed,73046,Primary,4,1556681,346,1893504,2,No,1,7,28.1,Poor,Yes
57,Male,Karonga,Northern,Rural,Retail,Not Employed,79856,Secondary,3,882504,368,1323473,1,No,5,6,32.6,Poor,Yes
31,Male,Nkhata Bay,Northern,Rural,Retail,Not Employed,84265,Secondary,4,785591,416,1265187,4,No,4,6,23.5,Poor,Yes
93,Female,Likoma,Northern,Rural,SME,Employed,703916,Secondary,17,1862354,343,89607,1,No,0,7,48.6,Poor,No
22,Female,Lilongwe,Central,Rural,Corporate,Self Employed,850667,Secondary,20,369124,446,1586547,5,No,2,6,33.2,Fair,Yes
51,Male,Phalombe,Southern,Rural,Retail,Employed,75589,Primary,29,2636345,387,2086341,1,No,1,6,44.8,Fair,Yes
47,Male,Machinga,Southern,Rural,Retail,Not Employed,63421,Secondary,1,436758,806,419077,6,No,0,9,48.0,Poor,Yes
91,Female,Karonga,Northern,Rural,Retail,Self Employed,1475460,Tertiary,23,3713555,589,48893,5,No,2,7,18.3,Fair,Yes
18,Female,Ntcheu,Central,Rural,SME,Self Employed,612346,Secondary,12,2725832,547,599529,4,No,1,6,25.4,Poor,Yes
52,Male,Thyolo,Southern,Rural,Retail,Not Employed,64201,Tertiary,28,125341,343,191144,7,No,4,8,36.2,Fair,No
95,Male,Lilongwe,Central,Rural,SME,Employed,80507,Primary,3,519908,385,841398,5,No,1,6,18.8,Fair,Yes
72,Male,Likoma,Northern,Rural,Retail,Employed,365752,Secondary,21,40440,600,1664949,6,No,2,1,35.9,Poor,Yes
87,Male,Salima,Central,Rural,Retail,Self Employed,561234,Secondary,10,414469,433,36548,1,Yes,2,4,25.7,Fair,No
84,Female,Neno,Southern,Rural,Retail,Self Employed,525977,Secondary,2,91032,450,1446749,2,No,1,8,15.4,Good,No
45,Male,Lilongwe,Central,Rural,SME,Not Employed,35187,Primary,16,895067,560,1641617,7,No,2,5,23.9,Fair,Yes
67,Male,Rumphi,Northern,Rural,SME,Not Employed,37023,Secondary,25,973837,552,879860,6,No,2,1,30.3,Poor,Yes
29,Female,Lilongwe,Central,Rural,Retail,Self Employed,25831,Primary,6,1146596,557,1309866,3,No,0,1,16.5,Good,No
27,Male,Rumphi,Northern,Rural,Retail,Employed,540818,Secondary,4,3770559,307,560030,7,No,1,9,15.2,Poor,Yes
18,Male,Rumphi,Northern,Rural,Retail,Not Employed,88027,Primary,1,647071,341,160800,7,No,3,3,18.9,Fair,No
35,Female,Phalombe,Southern,Rural,Retail,Self Employed,87275,Primary,12,234775,342,2149496,4,No,2,4,17.4,Poor,Yes
90,Female,Kasungu,Central,Rural,Retail,Not Employed,38447,Primary,28,2759844,587,1209813,6,No,0,8,35.3,Poor,Yes
17,Female,Chikwawa,Southern,Rural,Corporate,Not Employed,84364,Primary,5,879327,512,867217,1,No,1,6,16.5,Poor,Yes
29,Female,Neno,Southern,Rural,Retail,Not Employed,14045,Primary,10,2291880,773,1143842,7,No,1,7,21.6,Poor,No
90,Female,Mchinji,Central,Rural,Retail,Employed,57196,Primary,1,3153394,350,1575171,1,No,0,8,45.2,Fair,Yes
65,Female,Mangochi,Southern,Rural,SME,Self Employed,117551,Primary,8,362972,480,1198423,2,No,0,9,46.9,Good,No
21,Male,Nsanje,Southern,Rural,Corporate,Self Employed,39686,Primary,11,410681,583,1572841,4,No,0,6,12.0,Fair,No
56,Female,Mangochi,Southern,Rural,Retail,Not Employed,92583,Tertiary,28,2479702,383,481588,6,No,0,9,46.1,Fair,Yes
26,Male,Salima,Central,Rural,Retail,Not Employed,12775,Tertiary,11,82317,638,1264845,6,No,5,9,25.1,Poor,No
42,Female,Chitipa,Northern,Rural,Retail,Employed,2121254,Tertiary,15,526202,450,827935,3,No,1,4,46.7,Poor,No
23,Female,Neno,Southern,Rural,Retail,Not Employed,24246,Primary,7,3299394,328,333799,5,Yes,1,7,46.5,Good,No
33,Female,Mzimba,Northern,Rural,Retail,Self Employed,253795,Primary,8,1166692,451,52839,4,No,0,5,31.1,Poor,Yes
62,Female,Chiradzulu,Southern,Rural,Retail,Not Employed,61156,Tertiary,16,266310,559,1135199,3,No,1,2,15.7,Fair,Yes
17,Male,Karonga,Northern,Rural,SME,Self Employed,992442,Secondary,14,462318,498,2028968,5,No,5,8,23.8,Fair,No
44,Male,Chikwawa,Southern,Rural,Retail,Self Employed,45231,Primary,24,839140,713,2095105,2,No,1,9,35.7,Poor,Yes
52,Male,Dowa,Central,Rural,Retail,Self Employed,569273,Secondary,19,91790,452,421938,4,No,2,8,13.5,Fair,No
68,Female,Mzimba,Northern,Rural,Retail,Not Employed,96775,Primary,16,2294826,469,1952329,7,No,1,9,44.8,Poor,No
28,Male,Thyolo,Southern,Rural,Retail,Employed,653535,Secondary,4,178565,676,1090462,2,No,1,3,30.1,Poor,Yes
49,Male,Zomba,Southern,Rural,Retail,Not Employed,26375,Secondary,3,697434,543,132081,6,No,0,4,13.2,Poor,Yes
33,Female,Neno,Southern,Rural,Retail,Not Employed,85374,Secondary,28,888645,644,62147,4,No,1,2,11.2,Fair,Yes
42,Female,Blantyre,Southern,Rural,Retail,Employed,177259,Primary,24,464766,427,999957,7,No,1,10,19.9,Poor,No
16,Male,Nsanje,Southern,Rural,Corporate,Not Employed,90894,Primary,18,71027,557,940133,1,No,0,2,34.3,Poor,Yes
78,Male,Neno,Southern,Rural,Retail,Employed,77972,Primary,2,3522822,429,1110940,1,No,1,9,22.0,Poor,No
26,Male,Nkhotakota,Central,Rural,SME,Employed,16854,Primary,21,580712,692,1118054,4,No,1,3,41.9,Poor,Yes
17,Male,Machinga,Southern,Rural,SME,Employed,711504,Secondary,1,3468913,359,409979,2,No,0,8,42.3,Fair,No
37,Male,Salima,Central,Rural,Retail,Self Employed,134687,Primary,3,722018,562,1618572,6,No,1,3,38.2,Poor,Yes
37,Female,Balaka,Southern,Rural,Retail,Employed,181364,Secondary,20,281935,586,1440199,1,No,2,4,46.1,Poor,No
28,Female,Neno,Southern,Rural,SME,Employed,49371,Primary,21,426973,671,1818388,2,No,1,2,46.8,Good,Yes
82,Male,Nkhata Bay,Northern,Rural,Retail,Employed,771889,Tertiary,23,382619,329,908673,7,No,0,5,42.6,Poor,Yes
17,Male,Mchinji,Central,Rural,Retail,Employed,441280,Secondary,29,1284995,406,157133,5,No,1,5,41.8,Poor,Yes
77,Female,Chitipa,Northern,Rural,Retail,Employed,722160,Secondary,26,335804,592,2091990,7,No,2,3,39.5,Fair,Yes
70,Female,Salima,Central,Rural,Retail,Employed,1810436,Tertiary,19,417912,470,1037661,4,No,1,4,21.2,Poor,No
93,Male,Nsanje,Southern,Rural,SME,Not Employed,25914,Tertiary,1,687239,433,983895,4,No,0,2,44.3,Poor,No
52,Male,Neno,Southern,Rural,Retail,Employed,39591,Primary,27,742396,534,489799,3,No,3,6,35.3,Fair,Yes
24,Female,Mangochi,Southern,Rural,Corporate,Employed,141309,Primary,14,534508,333,1512944,5,No,0,7,34.8,Poor,Yes
48,Male,Blantyre,Southern,Rural,SME,Employed,543213,Secondary,16,275307,441,1322693,4,No,1,6,38.9,Poor,Yes
23,Female,Nkhotakota,Central,Rural,Retail,Not Employed,83281,Secondary,22,1688794,736,803400,5,No,2,6,37.7,Poor,No
60,Female,Ntchisi,Central,Rural,SME,Employed,188654,Primary,21,3549040,558,10698,3,No,1,9,47.3,Poor,No
92,Male,Mwanza,Southern,Rural,SME,Employed,1956410,Tertiary,26,210454,396,72140,3,No,3,6,41.5,Fair,No
73,Female,Salima,Central,Rural,Retail,Not Employed,29073,Primary,14,812642,375,1344610,5,No,4,9,28.3,Poor,Yes
50,Male,Mangochi,Southern,Rural,Retail,Employed,95048,Primary,13,1559261,372,2017126,7,No,1,6,22.8,Fair,Yes
21,Female,Nkhata Bay,Northern,Rural,SME,Employed,148261,Primary,18,851343,580,724359,4,No,4,9,43.2,Poor,No
68,Male,Dowa,Central,Rural,Retail,Employed,180091,Primary,28,51910,413,1689113,6,No,2,4,27.6,Poor,No
31,Male,Chiradzulu,Southern,Rural,Retail,Not Employed,16925,Secondary,27,2091764,315,1081254,5,No,0,6,32.6,Good,Yes
34,Female,Mulanje,Southern,Rural,Retail,Not Employed,79024,Secondary,13,349549,577,483401,6,No,2,1,10.7,Poor,Yes
22,Male,Likoma,Northern,Rural,Retail,Self Employed,999634,Secondary,7,1336011,303,82844,3,Yes,0,5,34.0,Fair,No
16,Female,Rumphi,Northern,Rural,Retail,Not Employed,82588,Tertiary,16,2471519,375,1195389,5,No,4,8,37.2,Fair,Yes
94,Female,Machinga,Southern,Rural,Retail,Not Employed,80255,Primary,17,3039121,401,1071363,3,No,1,9,25.9,Poor,Yes
21,Female,Neno,Southern,Rural,SME,Employed,174382,Secondary,15,287481,683,700742,6,No,1,6,22.2,Poor,Yes
19,Female,Nsanje,Southern,Rural,Retail,Employed,154034,Primary,30,661596,788,604507,3,No,1,4,33.6,Poor,Yes
18,Male,Dedza,Central,Rural,SME,Employed,15583,Primary,2,3444678,762,63052,6,No,1,4,25.6,Poor,No
67,Female,Chiradzulu,Southern,Rural,Retail,Employed,11242,Primary,16,1138709,429,1435890,7,No,2,6,49.2,Fair,Yes
22,Female,Chitipa,Northern,Rural,Retail,Employed,216992,Primary,13,2838208,558,824880,2,No,2,3,40.9,Poor,Yes
23,Female,Mulanje,Southern,Rural,Retail,Employed,907479,Secondary,4,1399944,419,1157681,1,No,1,5,20.5,Poor,No
44,Female,Chikwawa,Southern,Rural,Retail,Employed,146191,Primary,17,3009026,406,4674,2,No,0,8,16.3,Poor,Yes
17,Male,Rumphi,Northern,Rural,SME,Self Employed,2469917,Tertiary,24,916523,530,1097401,5,No,5,7,27.6,Poor,Yes
22,Male,Likoma,Northern,Rural,Retail,Employed,694472,Secondary,23,421949,635,1481997,3,No,2,2,35.5,Poor,No
28,Male,Karonga,Northern,Rural,Retail,Employed,873695,Secondary,23,381183,568,557905,1,No,3,2,41.4,Good,No
81,Male,Karonga,Northern,Rural,SME,Employed,54973,Primary,10,555508,322,177439,1,No,0,1,40.2,Fair,No
73,Male,Ntcheu,Central,Rural,Retail,Employed,37664,Primary,11,55974,838,99780,2,No,3,7,24.7,Poor,No
86,Male,Lilongwe,Central,Rural,SME,Employed,294822,Primary,24,807195,301,457448,7,No,1,10,26.8,Fair,Yes
48,Female,Dedza,Central,Rural,SME,Not Employed,12736,Secondary,19,618545,362,1225839,3,No,1,10,14.7,Poor,Yes
27,Female,Nsanje,Southern,Rural,Retail,Employed,191587,Primary,15,2469948,517,606438,1,No,0,3,43.3,Poor,No
63,Female,Dowa,Central,Rural,Retail,Not Employed,95018,Tertiary,21,169485,432,1495474,4,No,4,8,29.6,Fair,Yes
39,Female,Chikwawa,Southern,Rural,Retail,Not Employed,18249,Primary,28,3375173,490,2017465,6,No,1,9,41.3,Poor,Yes
19,Female,Mzimba,Northern,Rural,SME,Self Employed,11765,Primary,2,1409851,391,1272031,7,No,0,5,23.8,Poor,No
78,Female,Nkhotakota,Central,Rural,Retail,Not Employed,60037,Primary,23,627125,547,683540,1,No,4,8,46.2,Poor,Yes
22,Female,Mzimba,Northern,Rural,Retail,Employed,910072,Secondary,21,3019521,470,1333951,4,No,2,2,37.9,Fair,Yes
33,Female,Mchinji,Central,Rural,Retail,Employed,2096927,Tertiary,18,324584,506,128394,1,No,0,3,28.8,Fair,Yes
94,Male,Rumphi,Northern,Rural,Retail,Not Employed,60908,Primary,14,1430728,419,1946957,1,No,2,6,30.4,Fair,Yes
17,Female,Kasungu,Central,Rural,Retail,Self Employed,234133,Primary,12,899410,455,332457,1,No,4,5,47.5,Fair,Yes
62,Male,Zomba,Southern,Rural,Retail,Not Employed,19828,Primary,24,978062,583,2040711,3,No,3,10,44.1,Poor,Yes
26,Female,Thyolo,Southern,Rural,Retail,Not Employed,44099,Secondary,22,457810,737,917613,7,No,3,10,41.2,Poor,No
24,Male,Neno,Southern,Rural,Retail,Not Employed,99868,Secondary,19,997905,837,352632,5,Yes,0,8,38.3,Fair,No
69,Female,Nkhata Bay,Northern,Rural,Retail,Self Employed,119598,Primary,22,266803,369,1893446,2,No,0,1,31.1,Good,No
78,Female,Nkhotakota,Central,Rural,Retail,Not Employed,92118,Primary,9,2787146,448,1268542,2,No,0,7,44.2,Poor,Yes
28,Female,Chiradzulu,Southern,Rural,SME,Not Employed,23291,Secondary,30,185085,850,259732,2,No,2,5,35.8,Fair,No
26,Female,Thyolo,Southern,Rural,Retail,Employed,550406,Secondary,18,980496,435,2182814,3,No,3,1,24.7,Fair,No
90,Female,Nsanje,Southern,Rural,SME,Employed,59078,Primary,24,884934,570,1861071,4,No,0,4,40.6,Good,Yes
19,Male,Ntchisi,Central,Rural,SME,Self Employed,387734,Secondary,8,615792,779,1564273,5,No,2,8,47.3,Fair,No
93,Male,Phalombe,Southern,Rural,Retail,Not Employed,88260,Primary,25,172756,826,2131019,7,No,0,8,49.0,Good,No
57,Female,Nsanje,Southern,Rural,Retail,Self Employed,26778,Primary,3,3104312,480,1381094,2,No,0,8,44.9,Poor,Yes
23,Male,Chitipa,Northern,Rural,SME,Not Employed,54956,Tertiary,8,2299196,403,383695,4,No,0,9,19.5,Good,Yes
96,Male,Karonga,Northern,Rural,Retail,Employed,28762,Primary,17,2406828,377,1181643,5,No,0,10,31.3,Poor,Yes
73,Female,Neno,Southern,Rural,SME,Self Employed,87796,Primary,29,991933,431,766140,2,No,0,10,14.3,Poor,Yes
24,Female,Mwanza,Southern,Rural,Retail,Not Employed,76744,Tertiary,27,1348181,796,128625,3,No,0,7,30.9,Good,Yes
85,Male,Thyolo,Southern,Rural,SME,Not Employed,80381,Secondary,3,494534,331,1357220,1,No,1,3,23.4,Poor,No
26,Male,Likoma,Northern,Rural,Retail,Employed,1024871,Tertiary,16,627750,481,495762,7,No,5,8,18.9,Fair,No
80,Male,Dedza,Central,Rural,Retail,Self Employed,32269,Primary,19,3311942,456,155619,4,No,1,8,44.6,Good,Yes
39,Female,Mulanje,Southern,Rural,Retail,Employed,36072,Primary,23,1932332,575,1084511,6,No,0,10,46.0,Poor,Yes
21,Female,Chitipa,Northern,Rural,Retail,Employed,580862,Secondary,2,2825060,368,1929859,4,No,2,1,31.6,Fair,Yes
18,Male,Mchinji,Central,Rural,SME,Self Employed,270722,Primary,10,751221,465,1134364,7,No,5,10,37.7,Fair,No
31,Female,Mzimba,Northern,Rural,Retail,Employed,57491,Primary,24,2253926,567,2089714,7,No,1,6,31.3,Good,No
16,Female,Mzimba,Northern,Rural,SME,Self Employed,442865,Secondary,28,3348458,375,856494,5,No,1,10,43.5,Poor,Yes
35,Female,Kasungu,Central,Rural,SME,Not Employed,77104,Secondary,28,496264,402,47078,2,No,5,7,13.5,Good,No
95,Male,Ntchisi,Central,Rural,SME,Employed,264095,Primary,6,258633,452,603079,3,No,1,10,43.6,Poor,No
88,Male,Nkhotakota,Central,Rural,SME,Self Employed,275345,Primary,18,8034,319,1850934,7,No,1,8,20.9,Fair,Yes
35,Female,Chikwawa,Southern,Rural,Retail,Employed,174175,Secondary,24,699349,478,384751,4,No,0,9,13.5,Poor,Yes
26,Male,Balaka,Southern,Rural,SME,Employed,49150,Primary,27,3386818,318,1934155,3,No,1,7,18.7,Fair,No
51,Male,Ntcheu,Central,Rural,Retail,Not Employed,60976,Primary,28,1568238,545,1783020,1,No,1,9,25.1,Good,No
62,Male,Ntcheu,Central,Rural,Retail,Employed,264642,Primary,27,341015,402,170531,4,No,2,3,34.1,Poor,Yes
21,Male,Chitipa,Northern,Rural,Corporate,Employed,434750,Secondary,26,84459,590,48260,2,Yes,0,7,22.2,Poor,No
17,Male,Zomba,Southern,Rural,Corporate,Not Employed,74636,Tertiary,25,1714655,307,11091,1,No,2,5,43.8,Poor,No
82,Female,Kasungu,Central,Rural,Retail,Self Employed,76667,Primary,22,326982,571,490390,3,No,4,6,30.2,Poor,Yes
43,Female,Neno,Southern,Rural,SME,Self Employed,84901,Primary,18,716417,560,79919,7,No,3,2,39.3,Good,No
83,Female,Phalombe,Southern,Rural,Retail,Self Employed,773164,Secondary,22,343659,472,717226,2,No,1,4,29.8,Poor,No
17,Female,Zomba,Southern,Rural,SME,Not Employed,47129,Secondary,24,248489,535,1589459,3,No,4,9,19.3,Poor,Yes
79,Female,Chikwawa,Southern,Rural,Retail,Not Employed,16837,Secondary,26,669113,824,981485,4,No,1,9,38.3,Good,No
49,Female,Mangochi,Southern,Rural,Retail,Employed,253241,Primary,5,844345,598,1426858,6,No,0,4,37.6,Good,No
22,Male,Mwanza,Southern,Rural,SME,Employed,446959,Secondary,1,3418854,429,1335133,2,No,2,9,45.7,Poor,No
27,Female,Blantyre,Southern,Rural,Retail,Not Employed,66309,Tertiary,6,493251,710,1983579,1,No,3,6,47.3,Good,Yes
76,Female,Mchinji,Central,Rural,SME,Employed,736462,Tertiary,1,910706,562,1548663,4,No,1,7,40.1,Poor,No
17,Male,Nkhotakota,Central,Rural,SME,Employed,877746,Tertiary,24,823706,398,1759994,3,No,4,6,41.6,Poor,Yes
47,Female,Nkhata Bay,Northern,Rural,Retail,Not Employed,26012,Primary,18,3261908,496,1419008,4,No,0,10,34.5,Poor,Yes
59,Female,Thyolo,Southern,Rural,Retail,Not Employed,77829,Tertiary,24,1775111,395,2000704,5,No,0,7,49.7,Poor,Yes
28,Female,Thyolo,Southern,Rural,SME,Self Employed,212621,Primary,20,154231,443,808164,2,Yes,1,7,49.3,Poor,Yes
21,Female,Nkhata Bay,Northern,Rural,Retail,Employed,30314,Primary,17,2494588,459,1097262,3,No,3,7,22.8,Fair,No
27,Female,Nsanje,Southern,Rural,Retail,Employed,561972,Secondary,30,1423441,509,1261324,5,No,0,7,18.2,Poor,No
28,Male,Lilongwe,Central,Rural,Retail,Employed,553528,Secondary,6,2158399,589,1566623,3,No,0,3,21.2,Poor,No
19,Female,Ntcheu,Central,Rural,Retail,Not Employed,79380,Secondary,8,863382,834,1466369,2,Yes,0,8,40.2,Poor,Yes
57,Male,Mulanje,Southern,Rural,Retail,Employed,106683,Primary,30,895138,485,1706472,1,No,1,2,29.9,Good,Yes
51,Female,Nkhata Bay,Northern,Rural,Retail,Self Employed,554976,Secondary,21,622515,497,407919,1,No,1,2,24.2,Fair,No
90,Male,Ntchisi,Central,Rural,Retail,Not Employed,46550,Tertiary,19,1330714,525,2174437,2,No,1,6,23.7,Poor,Yes
29,Female,Zomba,Southern,Rural,SME,Self Employed,1601559,Tertiary,23,557107,375,1962912,3,No,3,9,20.2,Poor,Yes
39,Male,Chiradzulu,Southern,Rural,Retail,Not Employed,49458,Primary,19,2899558,502,405548,6,No,0,6,40.0,Fair,Yes
24,Male,Dedza,Central,Rural,SME,Employed,81273,Primary,9,1084352,544,12980,1,Yes,0,5,21.6,Fair,No
29,Female,Chitipa,Northern,Rural,SME,Employed,402051,Secondary,30,3662810,420,1054035,1,No,0,9,46.8,Poor,No
86,Female,Salima,Central,Rural,SME,Self Employed,80283,Primary,27,1841106,593,13426,2,No,0,4,43.6,Fair,No
68,Male,Karonga,Northern,Rural,Retail,Self Employed,94090,Primary,24,534774,761,1702301,5,No,2,8,27.8,Fair,No
17,Male,Nsanje,Southern,Rural,Retail,Employed,936024,Secondary,11,87880,409,595900,2,No,5,1,45.7,Fair,Yes
52,Female,Mzimba,Northern,Rural,Retail,Not Employed,69171,Secondary,1,720738,517,68837,2,Yes,3,7,23.4,Poor,No
23,Male,Blantyre,Southern,Rural,SME,Not Employed,35943,Primary,4,344647,304,940250,2,No,3,3,41.1,Poor,No
16,Female,Nkhata Bay,Northern,Rural,Retail,Not Employed,96360,Tertiary,14,1634709,432,1429418,1,Yes,1,6,47.6,Poor,Yes
26,Female,Rumphi,Northern,Rural,Retail,Employed,394795,Secondary,12,509722,597,1547474,1,No,3,9,13.0,Poor,No
26,Male,Salima,Central,Rural,Retail,Self Employed,777115,Secondary,15,923200,477,1157297,6,No,3,4,46.1,Poor,Yes
54,Female,Blantyre,Southern,Rural,SME,Employed,748285,Secondary,18,449131,396,895818,6,No,2,6,30.4,Poor,Yes
69,Male,Dedza,Central,Rural,SME,Not Employed,19816,Tertiary,10,600570,353,1276191,5,No,2,10,18.7,Poor,Yes
72,Male,Chitipa,Northern,Rural,SME,Not Employed,84368,Primary,21,418778,545,979395,1,No,1,6,17.9,Poor,Yes
60,Female,Phalombe,Southern,Rural,SME,Employed,144711,Primary,25,982037,337,2187283,5,No,2,7,22.8,Poor,No
20,Male,Mulanje,Southern,Rural,Retail,Employed,1540799,Tertiary,18,2474694,357,690575,1,No,0,5,33.8,Fair,No
20,Female,Blantyre,Southern,Rural,SME,Not Employed,69313,Primary,20,297789,839,1270139,2,No,1,3,20.9,Fair,No
